hour,vS,sumP,u0,winners
8,2115.9081254854364,1148.6207681908966,967.2873572945398,20
9,1751.9582875696824,920.5491877834603,831.4090997862221,16
10,2120.42026289334,1172.7996928220678,947.6205700712721,20
11,1847.0128093186486,982.3719209022858,864.6408884163628,16
12,2070.143877491691,1007.1937126765016,1062.9501648151895,22
13,3360.5356745776635,1487.3198452001827,1873.2158293774808,30
14,2961.5081001959356,1603.185357348784,1358.3227428471516,28
15,2305.9964039677257,1249.338834902966,1056.6575690647596,26
16,2175.8590791530783,1290.1809035341555,885.6781756189228,20
17,2119.1872019828907,1106.9549407719144,1012.2322612109763,22
18,2041.2535195890443,883.5861074094462,1157.6674121795982,19
19,1926.9676946576944,830.9809548013311,1095.9867398563633,18
